43;27;41;35;29;20
22;4;34;38;18;27
24;4;28;10;23;19
17;1;27;3;21;7
41;20;45;8;1;42
8;41;13;5;43;10
22;32;3;15;14;23
8;31;2;25;37;40
23;35;2;37;43;41
38;29;26;33;15;41
34;25;4;42;26;13
1;2;16;26;25;38
40;26;18;19;28;32
33;13;8;2;20;37
37;40;41;15;19;28
16;5;37;7;18;42
34;31;44;9;36;45
24;41;25;38;28;8
16;43;28;44;3;26
28;37;5;15;26;43
5;26;27;41;34;11
19;9;20;39;31;24
24;13;35;34;8;15
37;23;15;25;35;9
32;10;21;29;25;3
22;32;11;6;16;19
2;33;17;12;15;18
5;30;15;14;37;40
20;45;33;19;18;7
7;43;32;4;22;10
11;19;31;3;29;12
14;27;8;19;45;24
21;4;30;12;11;45
25;36;44;35;8;23
6;18;44;16;29;5
31;25;41;22;11;28
41;19;39;29;15;21
14;2;4;28;29;5
28;27;9;39;7;35
17;2;23;5;24;35
5;26;41;34;6;19
38;27;7;23;36;25
14;36;19;29;3;40
32;41;10;4;23;24
24;6;3;12;33;21
17;45;37;44;27;30
5;8;6;25;2;9
39;35;14;17;19;43
5;18;25;4;20;15
21;41;30;36;38;12
7;6;27;23;17;13
9;20;38;44;16;22
12;14;22;13;45;27
20;5;29;17;27;35
5;10;44;12;32;17
19;17;38;3;24;29
13;34;5;28;3;17
43;34;21;39;2;41
8;33;3;7;44;16
8;32;4;13;21;27
31;18;5;42;35;44
38;45;17;44;5;31
10;27;45;21;29;3
23;19;34;28;7;31
25;26;45;30;32;44
10;27;37;23;11;39
43;35;31;37;19;1
11;36;42;20;32;35
37;44;30;10;18;15
4;6;39;13;43;14
22;36;17;10;40;37
17;6;26;1;44;40
6;20;41;12;7;9
8;17;31;41;4;26
40;34;9;44;18;8
10;33;15;9;21;17
42;23;26;11;38;44
28;41;19;1;9;22
9;4;19;43;17;37
19;36;20;4;37;43
7;2;17;33;35;31
11;4;10;17;44;8
23;42;12;27;34;5
22;30;18;7;40;6
32;43;44;9;3;34
24;28;21;27;6;32
16;30;7;35;25;31
9;23;26;7;22;13
2;30;15;13;28;21
34;43;1;38;20;4
39;35;43;11;24;32
21;6;43;24;26;1
3;12;38;29;17;6
26;17;21;28;9;19
41;26;15;43;38;11
17;14;4;22;39;37
13;4;3;44;23;19
6;42;29;12;40;13
39;2;24;22;13;25
33;2;1;41;40;21
1;19;11;45;13;17
13;31;41;24;1;14
15;35;45;10;32;23
14;13;8;35;18;36
45;1;42;35;17;41
23;2;40;42;4;25
42;20;4;38;31;16
29;37;24;14;13;15
10;34;21;42;24;35
13;20;4;1;19;2
34;35;11;43;41;42
35;36;45;16;40;14
31;43;26;28;27;33
37;13;23;8;41;40
26;33;29;16;24;19
28;7;37;13;33;19
40;38;19;5;35;6
19;38;13;15;36;2
22;18;44;31;37;29
34;11;10;13;4;15
22;18;20;39;2;35
44;42;33;43;5;27
